date,score
2011-12-01 09:55:11,"[-1.2518, -1.5825, -0.477, 0.9447, 1.9605]"
2011-12-01 10:29:04,"[0.5312, 0.6482, 0.709, -0.5385, -1.2305]"
2011-12-03 08:20:28,"[-1.6414, -1.308, -0.092, 1.2261, 1.5263]"
2011-12-03 08:22:07,"[2.5593, 1.1319, 0.2132, -1.462, -1.8178]"
2011-12-04 03:33:52,"[-2.5243, -2.5999, -0.979, 1.7844, 3.3992]"
2011-12-21 10:26:51,"[-2.2441, -2.375, -0.8251, 1.5835, 3.132]"
2011-12-21 10:30:05,"[-0.9347, -0.7458, 0.2972, 0.8608, 0.4282]"
2011-12-21 10:42:52,"[0.6641, 0.26, 0.1315, -0.2402, -0.7421]"
2011-12-21 10:48:29,"[0.8462, 1.2783, 0.641, -0.646, -1.7508]"
2011-12-21 11:00:19,"[0.5034, 0.1486, -0.0739, -0.2327, -0.4473]"
2011-12-21 11:13:59,"[-1.3035, -0.8594, -0.0879, 0.6567, 1.1108]"
2011-12-21 23:17:11,"[-1.5516, -1.7304, -0.687, 0.8073, 2.6998]"
2011-12-22 03:12:52,"[-0.4174, -0.5888, -0.0911, 0.4403, 0.5238]"
2011-12-22 09:46:16,"[0.2391, 0.145, 0.1593, -0.1524, -0.3001]"
2011-12-22 11:30:10,"[-1.105, -1.0291, -0.2319, 0.7814, 1.3008]"
2011-12-24 01:29:19,"[1.334, 0.3877, -0.0428, -0.6962, -0.6914]"
2011-12-24 01:33:35,"[-2.7707, -1.956, 0.1746, 1.977, 1.872]"
2011-12-24 01:41:33,"[0.3577, 0.9668, 0.7232, -0.3414, -1.3879]"
2011-12-26 04:06:06,"[-0.3932, -0.3629, 0.1936, 0.2253, 0.2393]"
2011-12-26 15:05:19,"[0.0857, 0.1113, 0.333, -0.0642, -0.5525]"
2011-12-26 15:23:40,"[0.1441, 0.5857, 0.2062, -0.4603, -0.5262]"
2011-12-26 15:45:18,"[-2.8358, -2.5329, 0.0618, 2.0449, 2.4945]"
2011-12-26 16:23:04,"[-0.716, 0.1765, 0.856, 0.4154, -0.608]"
2011-12-26 16:29:50,"[-0.5376, -0.7208, -0.1317, 0.6104, 0.5398]"
2011-12-27 23:38:55,"[-0.1632, -0.8315, -0.8225, -0.1501, 1.8534]"
2011-12-28 22:27:08,"[-1.0807, -1.4322, -0.4463, 0.7826, 1.7362]"
2011-12-29 08:56:23,"[0.2344, -0.5032, -0.1315, -0.0533, 0.3216]"
2011-12-29 09:12:01,"[-1.0351, -0.0253, 0.7218, 0.6246, -0.335]"
2011-12-29 14:22:15,"[-2.7033, -2.0755, 0.0523, 1.9712, 2.0272]"
2011-12-29 22:31:09,"[-1.7015, -0.9431, 0.8917, 1.5172, 0.0662]"
2011-12-29 22:45:17,"[0.0787, 0.1165, 0.4504, 0.0792, -0.6244]"
2011-12-30 03:53:51,"[0.0481, 0.4963, 0.4813, -0.1839, -0.7656]"
2011-12-30 03:58:30,"[0.3807, -0.1765, -0.1872, -0.0854, 0.2121]"
2011-12-30 04:03:42,"[-0.9936, -0.6319, -0.0611, 0.616, 0.6593]"
2011-12-30 04:10:31,"[-0.9252, -0.6446, -0.0172, 0.5922, 0.5571]"
2011-12-30 04:57:23,"[1.603, 0.9937, 0.1535, -1.0029, -1.3953]"
2011-12-30 14:36:17,"[-0.59, -0.6192, -0.0262, 0.4699, 0.6228]"
2011-12-30 14:48:52,"[-0.5529, -0.1729, 0.2217, 0.3828, -0.1667]"
2011-12-30 15:35:47,"[1.9805, 2.0445, 1.1576, -1.3339, -2.9922]"
2011-12-31 13:06:23,"[3.1376, 1.2409, -0.4242, -1.7417, -1.6886]"
2011-12-31 22:05:47,"[-1.1255, -1.2329, -0.2254, 0.9322, 1.3834]"
2011-12-31 22:08:42,"[1.9596, 2.0752, 0.7138, -1.3971, -2.6924]"
2012-01-01 16:40:27,"[1.4517, 1.3908, 0.6637, -1.1762, -1.9724]"
2012-01-01 16:49:40,"[-1.6867, -0.7208, 0.5698, 1.0893, 0.5262]"
2012-01-01 16:54:27,"[0.5542, 1.2768, 0.9553, -0.3866, -2.0121]"
2012-01-01 20:33:16,"[-1.7806, -0.9195, 0.3283, 1.2215, 0.8357]"
2012-01-01 20:41:34,"[-0.6813, -0.6568, -0.1798, 0.5322, 0.7002]"
2012-01-01 20:49:05,"[-0.3075, 0.4255, 0.7381, 0.178, -0.9325]"
2012-01-01 21:52:44,"[-1.1216, -0.923, -0.0871, 0.7018, 1.2252]"
2012-01-03 06:58:13,"[-1.1013, -1.0173, -0.1307, 0.7038, 0.984]"
2012-01-03 21:04:51,"[0.465, 0.9346, 0.6901, -0.4244, -1.399]"
